URL,sales_rank,overall_rating,discount_value,discount_rate,feature1,answered_ques,positive,negative,exchange,emi,No_of_people,customer_reviews,most_helpful,bank_offer,months,5_rating,4_rating,3_rating,2_rating,1_rating,feature2,feature3
https://www.amazon.in/Honor-Midnight-Black-64GB-Storage/dp/B07DJHWWQ8/ref=sr_1_78?s=electronics&amp;ie=UTF8&amp;qid=1552739719&amp;sr=1-78&amp;refinements=p_n_condition-type3A86099600312Cp_n_operating_system_browse-bin3A1485077031,107,4.4,3000,15,4.3,1000,89,6,1,1,874,9217,2,1,4,64,25,5,2,4,4.2,4.1
https://www.amazon.in/Honor-8X-128GB-Navy-Blue/dp/B07DJ8GV1C/ref=sr_1_118?s=electronics&amp;ie=UTF8&amp;qid=1552740213&amp;sr=1-118&amp;refinements=p_n_condition-type3A86099600312Cp_n_operating_system_browse-bin3A1485077031,108,4.4,3000,14,4.3,1000,89,6,1,1,874,9217,2,1,4,64,25,5,2,4,4.2,4.1
https://www.amazon.in/Coolpad-Note-Royal-Gold-32/dp/B01FM7H0K8/ref=sr_1_237?s=electronics&amp;ie=UTF8&amp;qid=1552748147&amp;sr=1-237&amp;refinements=p_n_condition-type3A86099600312Cp_n_operating_system_browse-bin3A1485077031,324,3.3,500,5,3.6,4,56,34,1,1,6,8771,1,1,1-Jan-17,36,20,10,6,28,3.6,3.6
https://www.amazon.in/Lenovo-Note-Fine-System-Update/dp/B01MU2AVOR/ref=sr_1_162?s=electronics&amp;ie=UTF8&amp;qid=1552745405&amp;sr=1-162&amp;refinements=p_n_condition-type3A86099600312Cp_n_operating_system_browse-bin3A1485077031,182,3.6,6001,43,3.9,1000,61,27,1,1,57,8413,5,1,19,37,24,12,7,20,3.8,3.6
https://www.amazon.in/Lenovo-Venom-Storage-System-Update/dp/B01M0JSAFU/ref=sr_1_187?s=electronics&amp;ie=UTF8&amp;qid=1552746012&amp;sr=1-187&amp;refinements=p_n_condition-type3A86099600312Cp_n_operating_system_browse-bin3A1485077031,251,3.6,5839,42,3.9,1000,61,27,1,1,57,8413,5,1,19,37,24,12,7,20,3.8,3.6
https://www.amazon.in/Lenovo-Note-Fine-System-Update/dp/B071HWTHS5/ref=sr_1_125?s=electronics&amp;ie=UTF8&amp;qid=1552745211&amp;sr=1-125&amp;refinements=p_n_condition-type3A86099600312Cp_n_operating_system_browse-bin3A1485077031,197,3.6,5509,37,3.9,1000,61,27,1,1,57,8413,5,1,19,37,24,12,7,20,3.8,3.6
https://www.amazon.in/Lenovo-PA2M0111IN-Vibe-K5-Grey/dp/B01M07568E/ref=sr_1_300?s=electronics&amp;ie=UTF8&amp;qid=1552749212&amp;sr=1-300&amp;refinements=p_n_condition-type3A86099600312Cp_n_operating_system_browse-bin3A1485077031,487,3.5,0,0,3.9,1000,60,26,1,1,6,8008,1,1,1-Jan-17,34,26,14,7,19,3.7,3.4
https://www.amazon.in/YU-Yuphoria-YU5010A-Black-Silver/dp/B015W4UQJS/ref=sr_1_295?s=electronics&amp;ie=UTF8&amp;qid=1552749212&amp;sr=1-295&amp;refinements=p_n_condition-type3A86099600312Cp_n_operating_system_browse-bin3A1485077031,470,3.5,1707,19,3.7,1000,58,30,1,1,12,7482,4,1,1-Jan-17,35,23,12,7,23,3.6,3.2
https://www.amazon.in/LG-Q6-Platinum-18-FullVision/dp/B074H26CGL/ref=sr_1_354?s=electronics&amp;ie=UTF8&amp;qid=1552750748&amp;sr=1-354&amp;refinements=p_n_condition-type3A86099600312Cp_n_operating_system_browse-bin3A1485077031,455,3.5,7401,44,3.6,1000,65,24,1,1,37,6853,3,1,2-Aug-17,44,21,11,7,17,3.5,3
https://www.amazon.in/LG-Black-3GB-32GB-Storage/dp/B074H1PCLG/ref=sr_1_272?s=electronics&amp;ie=UTF8&amp;qid=1552748958&amp;sr=1-272&amp;refinements=p_n_condition-type3A86099600312Cp_n_operating_system_browse-bin3A1485077031,392,3.5,6991,41,3.6,1000,65,24,1,1,37,6853,3,1,2-Aug-17,44,21,11,7,17,3.5,3
https://www.amazon.in/Honor-Black-3GB-32GB-Storage/dp/B077Q19S5N/ref=sr_1_56?s=electronics&amp;ie=UTF8&amp;qid=1552739092&amp;sr=1-56&amp;refinements=p_n_condition-type3A86099600312Cp_n_operating_system_browse-bin3A1485077031,44,4,4500,35,3.9,677,75,14,1,1,42,6566,5,1,10,46,29,11,4,10,3.8,3.7
https://www.amazon.in/Honor-Black-4GB-64GB-Storage/dp/B077PWBDTV/ref=sr_1_402?s=electronics&amp;ie=UTF8&amp;qid=1552751452&amp;sr=1-402&amp;refinements=p_n_condition-type3A86099600312Cp_n_operating_system_browse-bin3A1485077031,963,4,3519,23,3.9,677,75,14,1,1,42,6566,5,1,18-Jun-18,46,29,11,4,10,3.8,3.7
